施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
金沢城公園,565,13,13,0,5,20,4.501066098,3.615384615,4.426614481,3.846153846,4.605263158,4.384615385,8.454867257,316,71,0.4336283186,5,3,0.1538461538,0.01769911504,0.1469026549,0.1734513274,0.1911504425,0.2584070796,0.1610619469,0.05132743363,0,0,0,0.4088495575,0.5769911504,0.3805309735,0.3203539823,0.07079646018,0.0814159292,0.1469026549,0.2123893805,0.07787610619,0.1486725664,0.2442477876,0.008849557522,0,0.08672566372,0.01769911504,0.08318584071,0.02300884956,0.001769911504,0,0.1451327434,0.1734513274,0.6212389381,0.1292035398,0,0,0,0.07610619469,0,0,0,0,0,0,0.03185840708,0,0.04778761062,0.05840707965,0.05840707965,0.09026548673,0.1185840708,0.1522123894,0.1150442478,0.0796460177,0.0796460177,0.04424778761,0.06194690265,0.06371681416,0.02477876106,0.05309734513,0.01592920354,0.001769911504,0.003539823009,0.008849557522,0,0.003539823009,0.007079646018,0.02123893805,0.02300884956,0.01415929204,0.06194690265,0.07433628319,0.1575221239,0.06548672566,0.01769911504,0.03185840708,0.07787610619,0.01415929204,0.005309734513,0.01415929204,0.02477876106,0.03362831858,0.08318584071,0.01415929204,0.01415929204,0.02654867257,0.07787610619,0.05309734513,0.008849557522,0,0.001769911504,0,0.005309734513,0.001769911504,0.001769911504,0.001769911504,0,0.003539823009,0,0.01238938053,0.001769911504,0,0,0.007079646018,0,0,0.007079646018
兼六園,108,2,1,1,24,39,4.477272727,5,4.52,5,4.621621622,5,8.509259259,62,15,0.4351851852,1,0,0.5,0.01851851852,0.1666666667,0.1481481481,0.2314814815,0.212962963,0.2037037037,0.01851851852,0,0,0,0.2407407407,0.7314814815,0.462962963,0.287037037,0.1018518519,0.03703703704,0.1111111111,0.09259259259,0.1203703704,0.1574074074,0.3425925926,0.009259259259,0,0.1296296296,0.01851851852,0.01851851852,0.02777777778,0,0,0.05555555556,0.1481481481,0.7037037037,0.1666666667,0,0,0,0.0462962963,0,0,0,0,0,0,0.01851851852,0,0.0462962963,0.02777777778,0.05555555556,0.1203703704,0.1111111111,0.1018518519,0.1296296296,0.1018518519,0.07407407407,0.05555555556,0.06481481481,0.1018518519,0.0462962963,0.009259259259,0.01851851852,0,0,0.009259259259,0.009259259259,0,0,0.009259259259,0.02777777778,0.01851851852,0.07407407407,0.09259259259,0.1759259259,0.1296296296,0.009259259259,0.02777777778,0.07407407407,0,0.009259259259,0.02777777778,0.01851851852,0.009259259259,0.0462962963,0.01851851852,0.009259259259,0.02777777778,0.0462962963,0.009259259259,0.009259259259,0.009259259259,0,0,0,0.009259259259,0,0.009259259259,0,0,0,0.02777777778,0,0.009259259259,0,0.01851851852,0,0,0.009259259259
金沢駅,247,46,42,0.09523809524,11,5,4.462222222,4.326086957,4.427350427,4.282608696,4.647540984,4.434782609,8.704453441,144,16,0.5182186235,27,2,0.5434782609,0.03238866397,0.1619433198,0.1659919028,0.2105263158,0.2307692308,0.1821862348,0.01214574899,0.004048582996,0,0,0.3724696356,0.6072874494,0.4129554656,0.2834008097,0.0971659919,0.1012145749,0.1052631579,0.2348178138,0.06072874494,0.1093117409,0.2631578947,0.01214574899,0.004048582996,0.1174089069,0.04858299595,0.03643724696,0.01214574899,0,0.008097165992,0.1700404858,0.1700404858,0.6558704453,0.06882591093,0,0,0,0.04858299595,0,0,0,0,0,0,0,0,0.0971659919,0.06477732794,0.05668016194,0.06072874494,0.07287449393,0.1255060729,0.1214574899,0.09311740891,0.07692307692,0.08502024291,0.04048582996,0.08502024291,0.05668016194,0.06072874494,0.004048582996,0,0.01619433198,0,0,0.008097165992,0.004048582996,0.01214574899,0.004048582996,0.01214574899,0.05668016194,0.03643724696,0.2024291498,0.08906882591,0.004048582996,0.03238866397,0.02834008097,0.008097165992,0,0.05263157895,0.01214574899,0.01619433198,0.06882591093,0.004048582996,0.004048582996,0.02834008097,0.1538461538,0.04858299595,0.01214574899,0.008097165992,0,0,0.01619433198,0.03238866397,0,0,0,0,0,0.008097165992,0.004048582996,0.004048582996,0,0,0,0.004048582996,0.004048582996
金沢中央観光案内所,903,30,29,0.03448275862,2,10,4.391966759,3.233333333,4.408322497,3.633333333,4.584843493,4.366666667,8.070874862,413,175,0.2635658915,12,6,0.2,0.02990033223,0.1860465116,0.2026578073,0.1794019934,0.2369878184,0.138427464,0.02657807309,0,0,0,0.3366555925,0.6312292359,0.3455149502,0.3333333333,0.1007751938,0.1196013289,0.1007751938,0.1949058693,0.1129568106,0.1284606866,0.2524916944,0.003322259136,0.001107419712,0.1184939092,0.01439645626,0.06644518272,0.01550387597,0.001107419712,0,0.1882613511,0.130675526,0.6633444075,0.09413067553,0,0,0,0.07087486157,0,0,0,0,0,0,0.009966777409,0,0.03433001107,0.07198228128,0.03433001107,0.06866002215,0.1295681063,0.1262458472,0.1096345515,0.08637873754,0.05758582503,0.0553709856,0.0642303433,0.09302325581,0.03875968992,0.0642303433,0.01107419712,0.003322259136,0.007751937984,0.01550387597,0.002214839424,0.007751937984,0.003322259136,0.02214839424,0.01328903654,0.009966777409,0.05204872647,0.05094130676,0.227021041,0.09413067553,0.01107419712,0.02657807309,0.05094130676,0.00553709856,0.002214839424,0.006644518272,0.01661129568,0.02547065338,0.06201550388,0.008859357697,0.008859357697,0.03986710963,0.09413067553,0.03875968992,0.01439645626,0.007751937984,0.001107419712,0.002214839424,0.006644518272,0.00553709856,0.002214839424,0.001107419712,0.003322259136,0.002214839424,0.002214839424,0.01328903654,0.002214839424,0.001107419712,0.006644518272,0.003322259136,0.002214839424,0.002214839424,0.002214839424
長町武家屋敷休憩館,90,3,4,-0.25,28,34,4.415584416,4.333333333,4.43902439,4.333333333,4.555555556,4.666666667,8.333333333,46,13,0.3666666667,1,1,0,0.04444444444,0.1555555556,0.1555555556,0.2333333333,0.1666666667,0.2,0.04444444444,0,0,0,0.3888888889,0.6,0.3333333333,0.3222222222,0.1777777778,0.1111111111,0.05555555556,0.1,0.1444444444,0.1111111111,0.3888888889,0,0,0.1222222222,0.02222222222,0.03333333333,0,0,0,0.2111111111,0.2111111111,0.6222222222,0.08888888889,0,0,0,0.01111111111,0,0,0,0,0,0,0,0,0.02222222222,0.06666666667,0.02222222222,0.06666666667,0.1222222222,0.1111111111,0.1333333333,0.1,0.05555555556,0.06666666667,0.08888888889,0.08888888889,0.04444444444,0.03333333333,0.04444444444,0.02222222222,0,0,0,0,0,0,0,0.07777777778,0.04444444444,0.1,0.2111111111,0.1111111111,0.02222222222,0.02222222222,0.03333333333,0,0,0.01111111111,0.03333333333,0,0.1,0,0,0.02222222222,0.03333333333,0.04444444444,0.02222222222,0,0.01111111111,0,0,0.01111111111,0,0,0,0,0,0.01111111111,0.01111111111,0,0,0,0,0,0
西茶屋資料館,66,0,1,-1,38,51,4.410714286,,4.440677966,,4.527777778,,7.166666667,18,21,-0.04545454545,0,0,,0,0.1666666667,0.2727272727,0.1212121212,0.303030303,0.1363636364,0,0,0,0,0.3333333333,0.6363636364,0.2878787879,0.4393939394,0.1363636364,0.04545454545,0.09090909091,0.1666666667,0.07575757576,0.1060606061,0.4090909091,0,0,0.1212121212,0.01515151515,0.04545454545,0.04545454545,0,0,0.196969697,0.1515151515,0.7121212121,0.07575757576,0,0,0,0.01515151515,0,0,0,0,0,0,0.01515151515,0,0.01515151515,0.01515151515,0.0303030303,0.1060606061,0.06060606061,0.1060606061,0.1515151515,0.04545454545,0.04545454545,0.0303030303,0.1060606061,0.1515151515,0.09090909091,0.06060606061,0,0,0,0,0,0.01515151515,0,0,0.04545454545,0,0.09090909091,0.09090909091,0.3181818182,0.06060606061,0.04545454545,0.01515151515,0.01515151515,0.0303030303,0.01515151515,0,0,0,0.04545454545,0,0.0303030303,0.04545454545,0.04545454545,0.04545454545,0.01515151515,0,0,0,0.01515151515,0,0,0,0,0,0,0,0,0,0.01515151515,0,0,0,0
ひがし茶屋休憩館,88,1,1,0,29,41,4.580246914,4,4.588235294,5,4.719298246,5,8.522727273,49,9,0.4545454545,0,0,0,0.03409090909,0.2386363636,0.1818181818,0.2159090909,0.2727272727,0.05681818182,0,0,0,0,0.3522727273,0.6477272727,0.3068181818,0.4204545455,0.04545454545,0.1022727273,0.125,0.1704545455,0.1363636364,0.1590909091,0.2386363636,0.01136363636,0,0.1477272727,0,0.05681818182,0.01136363636,0,0,0.2272727273,0.1931818182,0.7840909091,0.07954545455,0,0,0,0.01136363636,0,0,0,0,0,0,0,0,0.02272727273,0.09090909091,0.03409090909,0.07954545455,0.09090909091,0.1931818182,0.05681818182,0.07954545455,0.07954545455,0.03409090909,0.09090909091,0.06818181818,0.04545454545,0.05681818182,0.02272727273,0,0,0,0,0.01136363636,0,0.02272727273,0,0.01136363636,0.05681818182,0.06818181818,0.1818181818,0.1363636364,0.03409090909,0.01136363636,0.02272727273,0.01136363636,0.01136363636,0.02272727273,0.01136363636,0.03409090909,0.06818181818,0,0.01136363636,0.03409090909,0.1136363636,0.01136363636,0.01136363636,0,0,0,0,0.04545454545,0,0,0,0,0,0.02272727273,0,0,0,0,0,0,0.01136363636
石川県政記念しいのき迎賓館,84,14,2,6,30,19,4.464788732,4,4.481012658,4.285714286,4.608695652,4.642857143,8.154761905,38,14,0.2857142857,8,2,0.4285714286,0,0.1666666667,0.1666666667,0.2023809524,0.2619047619,0.1904761905,0.0119047619,0,0,0,0.3452380952,0.630952381,0.3095238095,0.2380952381,0.130952381,0.1071428571,0.2142857143,0.1666666667,0.1071428571,0.1785714286,0.2976190476,0,0,0.04761904762,0.02380952381,0.119047619,0,0,0,0.1904761905,0.2142857143,0.6071428571,0.1071428571,0,0,0,0.1666666667,0,0,0,0,0,0,0.03571428571,0,0.09523809524,0.05952380952,0.02380952381,0.07142857143,0.1071428571,0.07142857143,0.09523809524,0.1071428571,0.08333333333,0.07142857143,0.08333333333,0.09523809524,0.02380952381,0.1071428571,0.0119047619,0,0,0,0.0119047619,0,0,0.0119047619,0,0.03571428571,0.05952380952,0,0.130952381,0.05952380952,0.0119047619,0.08333333333,0.2619047619,0,0,0,0,0,0.05952380952,0.0119047619,0,0.05952380952,0.1071428571,0.02380952381,0,0,0,0,0.02380952381,0.0119047619,0,0,0.0119047619,0,0,0.0119047619,0,0,0,0,0,0,0
石川県立図書館,958,8,0,,1,24,4.650057937,4.125,4.701475596,4.625,4.601760176,4,8.618997912,597,112,0.506263048,5,1,0.5,0.04175365344,0.2077244259,0.1638830898,0.2004175365,0.2181628392,0.1377870564,0.02087682672,0.007306889353,0.001043841336,0.001043841336,0.3653444676,0.6054279749,0.2724425887,0.260960334,0.1022964509,0.1283924843,0.235908142,0.1910229645,0.0751565762,0.1461377871,0.1691022965,0.008350730689,0,0.111691023,0.0114822547,0.1294363257,0.05219206681,0,0,0.1638830898,0.1158663883,0.4603340292,0.02296450939,0,0,0,0.06471816284,0,0,0,0,0,0,0.03131524008,0,0.03966597077,0.06471816284,0.03235908142,0.06576200418,0.1012526096,0.1169102296,0.139874739,0.08559498956,0.06576200418,0.08037578288,0.05741127349,0.09081419624,0.0490605428,0.05010438413,0.02296450939,0.002087682672,0.001043841336,0.006263048017,0.001043841336,0,0.006263048017,0.008350730689,0.01043841336,0.008350730689,0.05427974948,0.02922755741,0.1565762004,0.09081419624,0.01878914405,0.06576200418,0.1753653445,0.02505219207,0.001043841336,0.02505219207,0.02192066806,0.02087682672,0.05636743215,0.0114822547,0.01043841336,0.02296450939,0.05949895616,0.03444676409,0.005219206681,0.002087682672,0,0.004175365344,0.005219206681,0.008350730689,0,0.001043841336,0.001043841336,0.002087682672,0,0.007306889353,0.006263048017,0.004175365344,0.001043841336,0.003131524008,0,0.002087682672,0
石川県立歴史博物館,373,40,32,0.25,8,7,4.507331378,4.375,4.554597701,4.375,4.582582583,4.5,8.230563003,176,59,0.3136729223,19,3,0.4,0.03217158177,0.2412868633,0.1554959786,0.1689008043,0.1957104558,0.1581769437,0.04825737265,0,0,0,0.4638069705,0.509383378,0.3243967828,0.3136729223,0.09919571046,0.08847184987,0.1742627346,0.2520107239,0.1233243968,0.1233243968,0.2680965147,0.005361930295,0,0.08847184987,0.01608579088,0.02949061662,0.002680965147,0,0,0.1689008043,0.1206434316,0.5415549598,0.09383378016,0,0,0,0.0509383378,0,0,0,0,0,0,0.01876675603,0,0.0509383378,0.0509383378,0.05361930295,0.08579088472,0.1313672922,0.1313672922,0.09115281501,0.06702412869,0.04557640751,0.0509383378,0.06434316354,0.08042895442,0.0509383378,0.09651474531,0.01340482574,0.002680965147,0.002680965147,0,0.005361930295,0.005361930295,0,0.01608579088,0.005361930295,0.02144772118,0.04825737265,0.0509383378,0.1930294906,0.09919571046,0.005361930295,0.04289544236,0.1072386059,0.01072386059,0.01072386059,0.02412868633,0.01072386059,0.02680965147,0.06970509383,0.01340482574,0.01876675603,0.03485254692,0.08042895442,0.03485254692,0.01072386059,0.005361930295,0,0,0.005361930295,0,0,0,0.01072386059,0,0,0.008042895442,0,0,0,0,0,0,0.005361930295
